category,text
phishing,"Your account has been locked due to suspicious activity. Click here to verify your identity."
phishing,"We've detected unusual login attempts on your account. Verify your password now."
phishing,"Your payment was declined. Update your payment information to continue your subscription."
phishing,"Security alert: Your account has been compromised. Reset your password immediately."
phishing,"Your package delivery has failed. Click here to reschedule."
credential_stealing,"Please enter your username and password to continue."
credential_stealing,"Your session has expired. Please sign in again."
credential_stealing,"Confirm your identity by entering your social security number."
credential_stealing,"Please provide your credit card information to verify your account."
credential_stealing,"Enter your PIN to access your account details."
financial_scam,"I am a banker with access to millions of dollars. I need your help to transfer the funds."
financial_scam,"Congratulations! You've been selected to receive $5,000,000 from our international lottery."
financial_scam,"Urgent investment opportunity: Guaranteed 50% returns in just one week."
financial_scam,"Your inheritance of $3.5 million is waiting. Contact us immediately to claim it."
financial_scam,"Help a prince transfer money and receive 20% commission on $10,000,000."
malware,"Download this file to clean your computer from viruses."
malware,"Your computer is infected with malware. Install this security tool immediately."
malware,"Your Adobe Flash Player is outdated. Update now by clicking this link."
malware,"Your browser needs an urgent security update. Download now."
malware,"Important system update required. Run this file to update Windows."
safe,"Thank you for your order. Your receipt is attached."
safe,"Your flight is confirmed for tomorrow at 3:30 PM. Check in opens 24 hours before departure."
safe,"Meeting scheduled for Friday at 2 PM in Conference Room B."
safe,"Happy birthday! Wishing you a wonderful day filled with joy."
safe,"The restaurant reservation is confirmed for 4 people at 7:30 PM."
